Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
YI,"111, Inc.",8.15,65074123.25,7984555,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.05,30364458.2,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.75,17325000,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.9399,60372718.12,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",21.29,1365929952,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.61,46864865.97,n/a,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow
FCCY,1st Constitution Bancorp (NJ),18.78,162048356.9,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,46.83,1202030239,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.86,489504521.9,62277929,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",60.5,3536597499,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",19.87,61597000,3100000,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin
JOBS,"51job, Inc.",92.34,3297006071,35705069,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
JFKKU,8i Enterprises Acquisition Corp,10.07,50350000,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku
EGHT,8x8 Inc,23.92,2288060376,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AAON,"AAON, Inc.",50.21,2614494601,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,7.7,370314775.6,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,3.8,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,1.4024,11273979.15,n/a,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",277.41,12507253442,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.38,230648229.2,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,4.76,321596705.1,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",57.88,2344184857,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.18,157879663.7,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",32.02,2832052063,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,24.05,3460371263,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,n/a,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,9.9745,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,1,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",0.867,67741080.38,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",19.5,1097920220,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,40.73,2145830806,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,4.14,363821299.7,n/a,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.87,304793189.1,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,19.57,197409693.9,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",4.25,28565100,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",2.96,410598398,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",35.52,4139283631,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",6.3,259998750.9,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",17.23,276974197,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,37.87,266971457.3,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",10.45,502640349.8,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ACTTU,Act II Global Acquisition Corp.,10.08,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu
ATVI,"Activision Blizzard, Inc",48.21,36928724964,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",6.32,173926267.3,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,2.05,96947283.9,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,4.8,385299820.8,80270796,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,67.9,894758904.2,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.31,13573292.52,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,6.37,188837293.2,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",2.62,26576824.12,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.35,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,4.63,214614704.8,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,289.25,1.4114E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",0.3565,25965155.94,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",17.14,818898517,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
